iter	Logloss
0	0.6800205707
1	0.6676852554
2	0.6560686145
3	0.6454134844
4	0.6340193952
5	0.6250291304
6	0.6132424916
7	0.6032258964
8	0.5909308839
9	0.5811941859
10	0.5720790541
11	0.5623844948
12	0.5544300911
13	0.5454350489
14	0.5368791823
15	0.5279730774
16	0.520187647
17	0.511900214
18	0.5050574724
19	0.4962175733
20	0.4894216461
21	0.4816111036
22	0.4737441801
23	0.4669461875
24	0.4597234029
25	0.4520559195
26	0.4454687442
27	0.4389200594
28	0.4317082186
29	0.4243886515
30	0.4174319995
31	0.4114888971
32	0.406203338
33	0.4005767404
34	0.3941999048
35	0.3877636
36	0.3822191956
37	0.3768610255
38	0.3713046599
39	0.3669172565
40	0.3611281683
41	0.3556567336
42	0.3506001109
43	0.3462766392
44	0.3416647243
45	0.3369673262
46	0.3329423736
47	0.3280736071
48	0.324631219
49	0.3203393455
50	0.3162126664
51	0.3120593491
52	0.3083303678
53	0.3045745594
54	0.300764961
55	0.2971439126
56	0.2930818496
57	0.2895948268
58	0.2857284965
59	0.2820986991
60	0.2788735569
61	0.2757673872
62	0.2727013524
63	0.2692781477
64	0.2663194302
65	0.2631312035
66	0.2601927864
67	0.2568431952
68	0.25393813
69	0.2516673009
70	0.248715326
71	0.246062916
72	0.2428535078
73	0.2405544634
74	0.2380544223
75	0.2355476272
76	0.2324462645
77	0.2301389312
78	0.2271538463
79	0.2252055903
80	0.2221386445
81	0.2196662321
82	0.2172857201
83	0.2151143397
84	0.2122722073
85	0.2096758948
86	0.2076307967
87	0.2054553288
88	0.2035073222
89	0.2012829721
90	0.1994479842
91	0.1978476064
92	0.1956500467
93	0.1937862816
94	0.192052635
95	0.1901696381
96	0.1886475405
97	0.1868601605
98	0.1851154392
99	0.1835786813
100	0.1819559092
101	0.1801790411
102	0.1784034373
103	0.1768442398
104	0.1750993711
105	0.1736290122
106	0.1716689503
107	0.1701144299
108	0.1684496524
109	0.1666123185
110	0.1648863297
111	0.1634961385
112	0.1619208584
113	0.1603215947
114	0.1586712969
115	0.1573608398
116	0.1561067749
117	0.1547990557
118	0.153299886
119	0.1519105095
120	0.1505175844
121	0.1493158712
122	0.147670514
123	0.146642614
124	0.1454670794
125	0.1441222126
126	0.1430864531
127	0.1420174202
128	0.1405298465
129	0.1392587337
130	0.1383099553
131	0.1370978257
132	0.1358569419
133	0.1349078256
134	0.1339565823
135	0.1330906621
136	0.1319348314
137	0.1308898778
138	0.1298856669
139	0.1288311235
140	0.127756155
141	0.1266589916
142	0.1255447442
143	0.1245337574
144	0.1237266887
145	0.1228342551
146	0.1220111935
147	0.1212930958
